account_id,customer_id,account_type,account_status,open_date,balance,credit_limit,interest_rate,branch_id,currency
A00000117,C000475,Checking,Active,2024-10-25,33255.36,,0.167,B048,USD
A00000118,C000101,Credit,Inactive,2024-12-03,8348.4,,0.1061,B014,USD
A00000119,C000422,Investment,Active,2020-08-18,10128.0,9611.13,0.0847,B034,EUR
A00000120,C000251,Checking,Active,2025-07-07,49990.47,,0.0381,B029,USD
A00000121,C000252,Savings,Active,2022-03-27,17606.81,4409.66,0.0806,B037,USD
A00000122,C000064,Credit,Active,2024-03-31,20865.75,,0.0629,B032,EUR
A00000123,C000244,Checking,Active,2020-12-31,2490.38,,0.1742,B039,USD
A00000124,C000459,Checking,Inactive,2024-03-26,45613.11,,0.0769,B050,EUR
A00000125,C000090,Credit,Active,2022-04-03,35800.81,,0.1566,B018,USD
A00000126,C000399,Savings,Inactive,2022-05-04,20953.51,,0.01,B039,USD
A00000127,C000478,Investment,Active,2022-12-03,32721.88,,0.144,B010,USD
A00000128,C000242,Investment,Active,2020-08-17,15039.04,,0.1155,B009,USD
A00000129,C000303,Investment,Inactive,2022-11-16,37180.16,,0.2085,B025,USD
A00000130,C000054,Savings,Frozen,2023-06-16,26872.66,,0.1872,B034,USD
A00000131,C000441,Credit,Active,2023-03-23,20438.95,,0.0668,B007,EUR
A00000132,C000043,Checking,Active,2021-03-09,37595.97,,0.0863,B002,USD
A00000133,C000384,Savings,Active,2023-09-17,1105.68,,0.1675,B001,EUR
A00000134,C000385,Investment,Active,2024-11-20,10775.67,,0.0394,B021,EUR
A00000135,C000075,Checking,Active,2024-01-27,17059.34,17686.05,0.0248,B029,EUR
A00000136,C000124,Investment,Active,2022-03-04,33178.12,,0.1736,B018,USD
A00000137,C000446,Savings,Active,2023-11-26,22674.49,9086.21,0.1721,B029,EUR
A00000138,C000241,Credit,Active,2024-07-10,44320.72,,0.2072,B048,EUR
A00000139,C000178,Checking,Active,2021-02-17,3951.67,19186.44,0.2226,B015,EUR
A00000140,C000488,Savings,Active,2021-03-27,9039.5,,0.1863,B030,USD
A00000141,C000417,Investment,Active,2022-12-18,1844.5,,0.0548,B022,USD
A00000142,C000369,Investment,Active,2024-02-21,1275.16,,0.1638,B023,USD
A00000143,C000480,Credit,Active,2024-09-14,20753.4,,0.111,B040,USD
A00000144,C000178,Savings,Active,2025-01-01,37925.44,7507.44,0.0358,B046,USD
A00000145,C000093,Credit,Active,2021-08-08,37380.48,14651.31,0.1349,B033,EUR
A00000146,C000163,Investment,Active,2025-05-19,-727.37,16842.1,0.0473,B033,USD
A00000147,C000199,Savings,Active,2025-06-03,27121.41,,0.1806,B038,USD
A00000148,C000075,Investment,Active,2022-10-07,3849.59,,0.2036,B036,EUR
A00000149,C000055,Investment,Inactive,2021-04-10,5557.35,,0.0107,B034,GBP
A00000150,C000239,Credit,Active,2024-03-09,36967.84,1767.65,0.1348,B046,USD
A00000151,C000432,Credit,Active,2020-09-12,5433.17,15330.44,0.0308,B009,USD
A00000152,C000315,Savings,Active,2025-02-13,4475.06,,0.2101,B028,USD
A00000153,C000384,Checking,Active,2021-02-09,23950.98,3002.71,0.1574,B030,GBP
A00000154,C000292,Savings,Active,2021-09-03,15633.96,,0.2003,B032,USD
A00000155,C000219,Savings,Active,2025-02-26,16576.17,,0.2386,B028,USD
A00000156,C000033,Checking,Inactive,2024-06-14,43785.5,,0.1908,B028,USD
A00000157,C000173,Checking,Active,2022-04-27,29403.07,,0.1225,B050,USD
A00000158,C000274,Savings,Active,2021-04-02,26285.22,,0.2469,B013,USD
A00000159,C000120,Credit,Active,2024-05-22,9285.96,,0.1813,B020,GBP
A00000160,C000213,Investment,Active,2023-05-15,14377.64,,0.1127,B021,USD
A00000161,C000130,Savings,Active,2022-03-02,42214.58,,0.1272,B040,GBP
A00000162,C000338,Savings,Active,2023-11-20,5481.88,,0.0882,B035,GBP
A00000163,C000491,Investment,Active,2021-07-26,1039.28,,0.0239,B050,USD
A00000164,C000034,Savings,Active,2025-02-12,32932.22,,0.1409,B043,USD
A00000165,C000355,Investment,Active,2021-06-09,45907.54,,0.0626,B032,EUR
A00000166,C000151,Investment,Inactive,2024-07-12,2988.84,,0.0497,B048,USD
A00000167,C000411,Savings,Active,2022-07-09,41392.64,9847.46,0.1201,B009,USD
A00000168,C000372,Investment,Active,2023-07-16,18504.61,,0.0477,B046,EUR
A00000169,C000449,Investment,Active,2024-05-28,31220.43,,0.2241,B015,USD
A00000170,C000193,Investment,Inactive,2021-02-01,23836.64,21325.5,0.018,B048,EUR
A00000171,C000351,Credit,Active,2022-08-27,22925.13,19529.54,0.0369,B012,GBP
A00000172,C000029,Checking,Active,2021-01-06,45772.82,15934.48,0.0689,B048,EUR
A00000173,C000094,Investment,Active,2021-12-11,4781.03,,0.0575,B047,GBP
A00000174,C000418,Checking,Active,2024-04-19,32879.91,,0.1047,B028,EUR
A00000175,C000050,Credit,Active,2023-05-04,39324.74,,0.2274,B040,USD
A00000176,C000282,Credit,Active,2021-06-21,24529.09,,0.128,B047,EUR
A00000177,C000239,Investment,Active,2023-11-18,13905.92,,0.1199,B039,EUR
A00000178,C000214,Checking,Active,2022-08-25,30218.9,,0.1513,B012,EUR
A00000179,C000327,Credit,Active,2023-02-25,26484.37,,0.2154,B050,EUR
A00000180,C000105,Savings,Active,2020-09-24,33201.1,,0.1042,B028,USD
A00000181,C000339,Credit,Active,2022-10-27,64.63,10246.39,0.2045,B004,USD
A00000182,C000026,Credit,Inactive,2024-06-17,12337.88,19117.75,0.0194,B029,GBP
A00000183,C000192,Checking,Frozen,2020-11-27,10370.72,,0.2114,B019,USD
A00000184,C000244,Investment,Active,2022-07-03,35311.88,,0.1467,B045,USD
A00000185,C000016,Credit,Active,2025-03-03,47036.25,,0.0495,B046,USD
A00000186,C000028,Credit,Active,2023-11-07,9506.4,,0.1403,B026,USD
A00000187,C000356,Investment,Active,2024-04-09,18214.25,16280.28,0.2158,B022,USD
A00000188,C000165,Investment,Active,2025-04-01,49643.24,,0.2469,B008,USD
A00000189,C000102,Savings,Active,2024-12-01,14512.65,,0.1638,B038,EUR
A00000190,C000186,Savings,Frozen,2025-02-24,2385.73,,0.2289,B003,USD
A00000191,C000170,Checking,Active,2025-07-17,48591.25,5208.88,0.035,B044,USD
A00000192,C000111,Investment,Active,2024-11-19,8349.54,12782.11,0.0696,B005,USD
A00000193,C000419,Savings,Active,2021-07-29,13910.12,,0.0397,B033,USD
A00000194,C000247,Investment,Active,2023-12-03,2817.71,,0.2218,B039,EUR
A00000195,C000338,Credit,Active,2025-05-28,48052.83,,0.0526,B003,EUR
A00000196,C000254,Savings,Active,2022-07-13,12645.89,,0.0294,B022,EUR
A00000197,C000463,Investment,Active,2022-12-09,49212.68,,0.1277,B037,USD
A00000198,C000042,Savings,Active,2023-11-06,34058.81,,0.1844,B018,USD
A00000199,C000419,Checking,Active,2024-06-02,20407.04,,0.162,B006,USD
A00000200,C000201,Savings,Active,2024-05-04,13093.95,,0.2474,B021,GBP
A00000201,C000273,Investment,Active,2022-10-13,21229.63,,0.2315,B014,USD
A00000202,C000191,Investment,Active,2023-08-25,33480.79,,0.0395,B005,USD
A00000203,C000293,Savings,Inactive,2021-04-27,32442.32,,0.0307,B025,EUR
A00000204,C000245,Checking,Active,2022-12-18,37357.54,,0.0127,B009,USD
A00000205,C000225,Investment,Active,2021-04-04,36564.55,,0.0539,B033,GBP
A00000206,C000149,Savings,Active,2020-11-09,48437.02,14082.37,0.1302,B049,USD
A00000207,C000401,Credit,Active,2021-05-06,47525.0,,0.0838,B039,USD
A00000208,C000391,Investment,Active,2022-09-01,36361.78,,0.1543,B033,USD
A00000209,C000140,Savings,Active,2020-12-06,-606.85,,0.0439,B025,USD
A00000210,C000477,Investment,Active,2022-12-09,307.32,,0.1229,B024,GBP
A00000211,C000378,Investment,Active,2023-11-25,39092.64,12618.68,0.1765,B025,EUR
A00000212,C000110,Checking,Active,2021-10-16,12293.71,,0.0791,B002,GBP
A00000213,C000058,Savings,Active,2021-09-20,7838.52,,0.099,B017,USD
A00000214,C000084,Investment,Active,2025-06-04,37375.69,,0.0996,B049,USD
A00000215,C000144,Credit,Active,2024-11-10,36694.76,,0.0658,B019,EUR
A00000216,C000078,Investment,Active,2025-02-15,6419.92,,0.1279,B028,USD
A00000217,C000285,Savings,Active,2022-03-29,48305.87,24083.17,0.0246,B010,USD
A00000218,C000270,Investment,Active,2022-09-12,31077.03,,0.0674,B039,EUR
A00000219,C000314,Investment,Active,2022-12-12,32559.91,,0.1993,B015,EUR
A00000220,C000314,Savings,Active,2022-07-03,8980.27,11706.59,0.1131,B033,USD
A00000221,C000369,Investment,Active,2020-10-25,39337.1,13305.41,0.2403,B014,USD
A00000222,C000369,Investment,Frozen,2023-03-31,4227.31,,0.0937,B048,USD
A00000223,C000171,Checking,Active,2024-02-27,41224.97,,0.1806,B040,USD
A00000224,C000279,Investment,Active,2023-12-18,31221.95,14914.34,0.1355,B025,GBP
A00000225,C000131,Investment,Active,2020-10-09,9045.49,7943.57,0.1526,B050,USD
A00000226,C000180,Checking,Active,2022-08-01,22648.61,,0.047,B043,USD
A00000227,C000095,Checking,Inactive,2022-09-26,21925.69,,0.1878,B029,EUR
A00000228,C000276,Investment,Frozen,2023-09-20,33205.12,15442.09,0.0281,B005,GBP
A00000229,C000024,Credit,Active,2023-03-20,21330.23,,0.1303,B037,EUR
A00000230,C000117,Savings,Active,2022-10-20,9992.16,,0.0203,B028,USD
A00000231,C000132,Savings,Active,2023-11-12,1821.95,4634.22,0.2461,B045,USD
A00000232,C000097,Investment,Active,2024-08-22,25935.73,15535.65,0.1574,B027,EUR
A00000233,C000042,Savings,Active,2020-11-23,14358.43,,0.2367,B031,USD
A00000234,C000240,Investment,Active,2022-01-01,29570.33,,0.1937,B026,USD
A00000235,C000268,Credit,Active,2021-12-16,22718.81,,0.1725,B020,EUR
A00000236,C000261,Credit,Active,2022-11-26,43526.91,14894.62,0.2048,B033,USD
A00000237,C000461,Savings,Active,2024-11-17,48771.97,,0.2204,B021,USD
A00000238,C000477,Credit,Active,2021-12-30,12631.45,13077.29,0.1221,B015,USD
A00000239,C000311,Investment,Active,2025-04-26,10509.69,20076.4,0.0664,B025,EUR
A00000240,C000317,Investment,Active,2024-08-28,2136.43,,0.2303,B039,USD
A00000241,C000234,Savings,Active,2023-08-30,6210.67,,0.2189,B025,EUR
A00000242,C000044,Credit,Inactive,2021-09-03,11084.08,4546.23,0.0127,B030,EUR
A00000243,C000380,Checking,Inactive,2025-02-07,23288.95,,0.2195,B040,USD
A00000244,C000458,Investment,Active,2023-06-24,11405.1,,0.0193,B021,USD
A00000245,C000184,Savings,Inactive,2022-12-01,18244.3,,0.0123,B028,USD
A00000246,C000447,Checking,Active,2022-05-21,47785.35,9208.98,0.0115,B002,USD
A00000247,C000440,Checking,Frozen,2024-06-07,17663.35,,0.0931,B037,USD
A00000248,C000300,Savings,Inactive,2025-06-30,43198.13,9542.13,0.1147,B012,USD
A00000249,C000066,Checking,Active,2021-02-11,48601.52,,0.0842,B050,USD
A00000250,C000319,Credit,Active,2021-09-16,45406.78,,0.1539,B014,GBP
A00000251,C000123,Checking,Active,2021-02-17,28773.75,,0.02,B001,USD
A00000252,C000338,Investment,Active,2022-12-11,35127.33,11353.17,0.2061,B027,GBP
A00000253,C000334,Checking,Active,2022-06-09,25463.68,,0.0198,B033,USD
A00000254,C000033,Investment,Active,2022-05-03,49056.61,,0.1487,B039,USD
A00000255,C000272,Savings,Active,2023-12-07,15012.47,,0.2234,B034,USD
A00000256,C000388,Investment,Active,2022-09-15,28390.59,,0.0118,B042,USD
A00000257,C000147,Checking,Active,2025-02-07,2810.6,,0.0869,B004,USD
A00000258,C000098,Checking,Active,2025-06-09,6638.25,,0.073,B047,USD
A00000259,C000382,Investment,Active,2023-02-02,30276.26,,0.1415,B018,USD
A00000260,C000008,Savings,Active,2022-04-03,46962.46,,0.2476,B030,USD
A00000261,C000395,Savings,Inactive,2022-09-08,31714.79,,0.175,B024,USD
A00000262,C000235,Credit,Active,2023-03-06,883.59,,0.0468,B002,EUR
A00000263,C000475,Checking,Active,2024-02-18,19017.34,16569.41,0.0841,B041,USD
A00000264,C000056,Credit,Active,2025-06-30,3966.84,,0.2279,B044,EUR
A00000265,C000114,Credit,Active,2022-03-23,19131.36,,0.1003,B004,EUR
A00000266,C000425,Credit,Active,2023-03-07,16794.26,13271.79,0.0966,B024,USD
A00000267,C000220,Credit,Active,2021-11-10,44456.88,20306.23,0.1475,B016,USD
A00000268,C000475,Credit,Active,2022-04-18,10513.34,14606.81,0.1525,B046,USD
A00000269,C000446,Savings,Active,2024-01-23,39327.78,,0.1857,B025,EUR
A00000270,C000010,Checking,Active,2024-08-09,22234.02,,0.0753,B005,GBP
A00000271,C000394,Credit,Active,2024-08-08,33454.39,2935.83,0.0278,B041,USD
A00000272,C000067,Investment,Active,2024-09-13,37857.63,12639.07,0.0561,B041,GBP
A00000273,C000056,Savings,Inactive,2021-08-27,39232.29,22749.84,0.1389,B007,GBP
A00000274,C000190,Savings,Active,2024-08-01,26234.57,,0.0131,B020,USD
A00000275,C000410,Savings,Active,2024-07-26,8214.29,,0.1619,B024,USD
A00000276,C000207,Investment,Active,2022-10-15,26105.27,,0.24,B036,USD
A00000277,C000026,Credit,Inactive,2025-07-01,28364.17,,0.2213,B049,USD
A00000278,C000060,Credit,Active,2024-12-18,17995.83,,0.2291,B021,USD
A00000279,C000351,Credit,Active,2021-04-01,4433.3,,0.2407,B030,USD
A00000280,C000467,Credit,Active,2020-12-21,35923.44,7769.12,0.1373,B034,EUR
A00000281,C000059,Credit,Active,2023-10-14,41988.72,,0.2116,B019,USD
A00000282,C000209,Checking,Inactive,2025-05-08,32548.64,,0.0365,B006,USD
A00000283,C000445,Investment,Inactive,2020-08-08,20166.32,10492.95,0.1128,B036,USD
A00000284,C000439,Credit,Active,2021-12-15,10982.14,,0.1744,B015,USD
A00000285,C000411,Investment,Active,2023-04-11,17389.44,,0.0945,B039,USD
A00000286,C000340,Savings,Active,2025-04-24,46060.4,,0.0659,B036,USD
A00000287,C000220,Savings,Active,2022-02-02,20881.08,21310.47,0.1573,B007,USD
A00000288,C000201,Checking,Active,2024-08-02,44211.28,,0.0661,B014,EUR
A00000289,C000276,Checking,Active,2021-08-02,37345.21,16798.26,0.0297,B013,USD
A00000290,C000101,Credit,Active,2021-05-20,40576.74,,0.2252,B011,USD
A00000291,C000149,Investment,Active,2021-02-12,14642.57,,0.1486,B013,USD
A00000292,C000384,Savings,Active,2024-05-12,30650.27,,0.0365,B049,USD
A00000293,C000313,Investment,Active,2020-10-08,43937.47,,0.1411,B043,GBP
A00000294,C000486,Credit,Active,2021-01-05,5126.13,,0.1903,B045,USD
A00000295,C000254,Credit,Active,2023-02-28,21818.81,,0.0166,B029,USD
A00000296,C000245,Savings,Active,2021-08-12,20413.41,,0.0933,B022,USD
A00000297,C000302,Checking,Active,2021-04-27,24846.07,7940.06,0.0458,B008,USD
A00000298,C000020,Credit,Active,2024-06-18,14974.64,,0.2378,B009,USD
A00000299,C000189,Savings,Active,2024-10-13,21031.52,,0.0703,B005,GBP
A00000300,C000433,Checking,Active,2025-03-28,1445.69,,0.1702,B017,USD
A00000301,C000061,Credit,Active,2023-07-13,9829.59,17538.28,0.0939,B012,USD
A00000302,C000420,Credit,Active,2024-06-15,3877.0,,0.1716,B025,USD
A00000303,C000153,Checking,Active,2024-08-04,23175.77,11211.02,0.2432,B018,USD
A00000304,C000317,Checking,Active,2025-03-11,2656.82,,0.0265,B040,USD
A00000305,C000057,Credit,Active,2024-07-29,4208.76,,0.2269,B007,USD
A00000306,C000184,Checking,Active,2022-12-17,42714.72,,0.0885,B050,USD
A00000307,C000250,Savings,Active,2020-11-10,850.41,,0.052,B026,USD
A00000308,C000040,Checking,Active,2022-07-24,11303.43,,0.2224,B025,EUR
A00000309,C000160,Savings,Inactive,2021-01-10,35389.44,,0.1665,B002,EUR
A00000310,C000310,Checking,Active,2023-06-22,-108.22,,0.2349,B018,USD
A00000311,C000002,Savings,Active,2022-01-13,-650.4,,0.0728,B046,EUR
A00000312,C000346,Checking,Active,2020-11-18,41770.51,,0.0606,B002,USD
A00000313,C000327,Investment,Active,2023-03-24,49728.99,,0.1197,B011,USD
A00000314,C000255,Savings,Active,2023-05-20,30268.53,,0.0728,B014,USD
A00000315,C000333,Investment,Inactive,2022-09-20,15929.47,12143.85,0.0956,B021,EUR
A00000316,C000085,Investment,Active,2023-04-23,32501.96,,0.1515,B004,GBP
A00000317,C000418,Credit,Inactive,2023-09-10,48030.56,,0.2233,B050,USD
A00000318,C000190,Checking,Active,2020-12-27,32588.13,,0.151,B019,USD
A00000319,C000031,Investment,Active,2025-06-02,35465.75,,0.1593,B030,USD
A00000320,C000131,Checking,Active,2024-08-25,3575.43,,0.0682,B025,USD
A00000321,C000406,Checking,Active,2023-09-18,42585.71,,0.1142,B027,USD
A00000322,C000026,Savings,Active,2022-10-03,46134.64,,0.0516,B003,USD
A00000323,C000066,Savings,Active,2022-05-12,25553.08,21422.48,0.1562,B040,USD
A00000324,C000331,Credit,Inactive,2020-12-11,14331.21,,0.145,B011,USD
A00000325,C000033,Investment,Active,2020-09-05,23793.12,7498.79,0.1168,B023,USD
A00000326,C000162,Checking,Active,2024-03-08,42146.06,,0.1716,B040,USD
A00000327,C000224,Savings,Active,2025-02-07,20836.05,,0.0933,B030,USD
A00000328,C000042,Checking,Active,2024-12-27,5508.63,6387.99,0.1924,B045,GBP
A00000329,C000253,Credit,Active,2023-06-07,31691.28,,0.0728,B005,USD
A00000330,C000378,Savings,Active,2021-10-15,16125.58,,0.1919,B049,EUR
A00000331,C000148,Savings,Active,2022-05-25,44164.11,,0.1449,B009,USD
A00000332,C000191,Credit,Active,2022-09-21,30786.11,9198.35,0.0697,B049,USD
A00000333,C000494,Checking,Active,2022-06-26,23999.54,,0.0788,B025,USD
A00000334,C000436,Checking,Inactive,2021-03-18,21060.22,,0.1478,B037,EUR
